team_id,abbr,name,city,full_name,state,founded
1610612737,ATL,Hawks,Atlanta,Atlanta Hawks,Georgia,1949
1610612738,BOS,Celtics,Boston,Boston Celtics,Massachusetts,1946
1610612739,CLE,Cavaliers,Cleveland,Cleveland Cavaliers,Ohio,1970
1610612740,NOP,Pelicans,New Orleans,New Orleans Pelicans,Louisiana,2002
1610612741,CHI,Bulls,Chicago,Chicago Bulls,Illinois,1966
1610612742,DAL,Mavericks,Dallas,Dallas Mavericks,Texas,1980
1610612743,DEN,Nuggets,Denver,Denver Nuggets,Colorado,1976
1610612744,GSW,Warriors,San Francisco,Golden State Warriors,California,1946
1610612745,HOU,Rockets,Houston,Houston Rockets,Texas,1967
1610612746,LAC,Clippers,Los Angeles,Los Angeles Clippers,California,1970
1610612747,LAL,Lakers,Los Angeles,Los Angeles Lakers,California,1948
1610612748,MIA,Heat,Miami,Miami Heat,Florida,1988
1610612749,MIL,Bucks,Milwaukee,Milwaukee Bucks,Wisconsin,1968
1610612750,MIN,Timberwolves,Minnesota,Minnesota Timberwolves,Minnesota,1989
1610612751,BKN,Nets,Brooklyn,Brooklyn Nets,New York,1976
1610612752,NYK,Knicks,New York,New York Knicks,New York,1946
1610612753,ORL,Magic,Orlando,Orlando Magic,Florida,1989
1610612754,IND,Pacers,Indiana,Indiana Pacers,Indiana,1976
1610612755,PHI,76ers,Philadelphia,Philadelphia 76ers,Pennsylvania,1949
1610612756,PHX,Suns,Phoenix,Phoenix Suns,Arizona,1968
1610612757,POR,Trail Blazers,Portland,Portland Trail Blazers,Oregon,1970
1610612758,SAC,Kings,Sacramento,Sacramento Kings,California,1948
1610612759,SAS,Spurs,San Antonio,San Antonio Spurs,Texas,1976
1610612760,OKC,Thunder,Oklahoma City,Oklahoma City Thunder,Oklahoma,1967
1610612761,TOR,Raptors,Toronto,Toronto Raptors,Ontario,1995
1610612762,UTA,Jazz,Utah,Utah Jazz,Utah,1974
1610612763,MEM,Grizzlies,Memphis,Memphis Grizzlies,Tennessee,1995
1610612764,WAS,Wizards,Washington,Washington Wizards,District of Columbia,1961
1610612765,DET,Pistons,Detroit,Detroit Pistons,Michigan,1948
1610612766,CHA,Hornets,Charlotte,Charlotte Hornets,North Carolina,1988
